 MUN,AÑO,SEXO,NOM_ENT,EDAD_QUIN,PORCENTAJE
"Álvaro Obregón","2017","Mujeres","Ciudad de México","35 a 39 años","0.348565589939139"
"Álvaro Obregón","2017","Mujeres","Ciudad de México","40 a 44 años","0.33974701975426"
"Álvaro Obregón","2017","Mujeres","Ciudad de México","45 a 49 años","0.310815921077554"
"Álvaro Obregón","2017","Mujeres","Ciudad de México","50 a 54 años","0.280879195976257"
"Álvaro Obregón","2017","Mujeres","Ciudad de México","55 a 59 años","0.248036099999492"
"Álvaro Obregón","2017","Mujeres","Ciudad de México","60 a 64 años","0.19952291314283"
"Álvaro Obregón","2017","Mujeres","Ciudad de México","65 y más","0.454852567430567"
"Álvaro Obregón","2018","Mujeres","Ciudad de México","Hasta 4 años","0.249629620207944"
"Álvaro Obregón","2018","Mujeres","Ciudad de México","5 a 9 años","0.268465209185087"
"Álvaro Obregón","2018","Mujeres","Ciudad de México","10 a 14 años","0.286427039190302"
"Álvaro Obregón","2018","Mujeres","Ciudad de México","15 a 19 años","0.307773302681721"
"Álvaro Obregón","2018","Mujeres","Ciudad de México","20 a 24 años","0.335954794586455"
"Álvaro Obregón","2018","Mujeres","Ciudad de México","25 a 29 años","0.351328528396337"
"Álvaro Obregón","2018","Mujeres","Ciudad de México","30 a 34 años","0.350974600711505"
"Álvaro Obregón","2018","Mujeres","Ciudad de México","35 a 39 años","0.348685131000249"
"Álvaro Obregón","2018","Mujeres","Ciudad de México","40 a 44 años","0.340069203922625"
"Álvaro Obregón","2018","Mujeres","Ciudad de México","45 a 49 años","0.315150482862434"
"Álvaro Obregón","2018","Mujeres","Ciudad de México","50 a 54 años","0.285420557336561"
"Álvaro Obregón","2018","Mujeres","Ciudad de México","55 a 59 años","0.25347858378049"
"Álvaro Obregón","2018","Mujeres","Ciudad de México","60 a 64 años","0.20587531017061"
"Álvaro Obregón","2018","Mujeres","Ciudad de México","65 y más","0.470712760586171"
"Álvaro Obregón","2019","Mujeres","Ciudad de México","Hasta 4 años","0.245625919796156"
"Álvaro Obregón","2019","Mujeres","Ciudad de México","5 a 9 años","0.262899346964799"
"Álvaro Obregón","2019","Mujeres","Ciudad de México","10 a 14 años","0.281590080978048"
"Álvaro Obregón","2019","Mujeres","Ciudad de México","15 a 19 años","0.303392246423598"
"Álvaro Obregón","2019","Mujeres","Ciudad de México","20 a 24 años","0.329889240791907"
"Álvaro Obregón","2019","Mujeres","Ciudad de México","25 a 29 años","0.34786024867313"
"Álvaro Obregón","2019","Mujeres","Ciudad de México","30 a 34 años","0.349930845391422"
"Álvaro Obregón","2019","Mujeres","Ciudad de México","35 a 39 años","0.348967519645478"
"Álvaro Obregón","2019","Mujeres","Ciudad de México","40 a 44 años","0.339777170574983"
"Álvaro Obregón","2019","Mujeres","Ciudad de México","45 a 49 años","0.318927258165653"
"Álvaro Obregón","2019","Mujeres","Ciudad de México","50 a 54 años","0.290149285594305"
"Álvaro Obregón","2019","Mujeres","Ciudad de México","55 a 59 años","0.258514553914297"
"Álvaro Obregón","2019","Mujeres","Ciudad de México","60 a 64 años","0.212075609333984"
"Álvaro Obregón","2019","Mujeres","Ciudad de México","65 y más","0.487276736801579"
"Álvaro Obregón","2020","Mujeres","Ciudad de México","Hasta 4 años","0.24228695108855"
"Álvaro Obregón","2020","Mujeres","Ciudad de México","5 a 9 años","0.257056353809247"
"Álvaro Obregón","2020","Mujeres","Ciudad de México","10 a 14 años","0.276560392387105"
"Álvaro Obregón","2020","Mujeres","Ciudad de México","15 a 19 años","0.299013876253029"
"Álvaro Obregón","2020","Mujeres","Ciudad de México","20 a 24 años","0.324239395164129"
"Álvaro Obregón","2020","Mujeres","Ciudad de México","25 a 29 años","0.34379887444289"
"Álvaro Obregón","2020","Mujeres","Ciudad de México","30 a 34 años","0.348533510300051"
"Álvaro Obregón","2020","Mujeres","Ciudad de México","35 a 39 años","0.349254239411796"
"Álvaro Obregón","2020","Mujeres","Ciudad de México","40 a 44 años","0.339152943707176"
"Álvaro Obregón","2020","Mujeres","Ciudad de México","45 a 49 años","0.321966326427085"
